"rulabel"	"enlabel"
"Глазунов, Илья Сергеевич"	"Ilya Glazunov"
"Савенко, Иван Григорьевич"	"Ivan Savenko"
"Вишняков, Иван Яковлевич"	"Ivan Vishnyakov"
"Богаевский, Константин Фёдорович"	"Konstantin Bogaevsky"
"Назаренко, Татьяна Григорьевна"	"Tatyana Nazarenko"
"Маковский, Александр Владимирович"	"Aleksandr Makovsky"
"Маковский, Константин Егорович"	"Konstantin Makovsky"
"Мартынов, Андрей Ефимович"	"Andrey Yefimovich Martynov"
"Ильин, Глеб Александрович"	"Gleb Ilyin"
"Бродский, Исаак Израилевич"	"Isaak Brodsky"
"Чеботарёв, Константин Константинович"	"Konstantin Chebotaryov"
"Федотов, Павел Андреевич"	"Pavel Fedotov"
"Захаров-Чеченец, Пётр Захарович"	"Pyotr Zakharov-Chechenets"
"Крестовский, Ярослав Игоревич"	"Yaroslav Krestovsky"
"Куинджи, Архип Иванович"	"Arkhip Kuindzhi"
"Крамской, Иван Николаевич"	"Ivan Kramskoi"
"Шмидт, Александр Владимирович"	"Alexander Shmidt"
"Орловский, Александр Осипович"	"Aleksander Orłowski"
"Дионисий "	"Dionisius"
"Вещилов, Константин Александрович"	"Constantin Westchiloff"
"Заграевский, Сергей Вольфгангович"	"Sergey Zagraevsky"
"Белов, Юрий Владимирович"	"Yuri Belov"
"Чупрун, Евгений Романович"	"Evgeny Chuprun"
"Мухо, Николай Антонович"	"Nikolai Mukho"
"Неврев, Николай Васильевич"	"Nikolai Nevrev"
"Тыранов, Алексей Васильевич"	"Alexey Tyranov"
"Павлов, Капитон Степанович"	"Kapiton Pavlov"
"Шибанов, Михаил"	"Mikhail Shibanov"
"Колендас, Павел"	"Pavel Kolendas"
"Бруни, Фёдор Антонович"	"Fyodor Bruni"
"Фешин, Николай Иванович"	"Nicolai Fechin"
"Малявин, Филипп Андреевич"	"Filipp Malyavin"
"Котьянц, Геворк Вартанович"	"Gevork Kotiantz"
"Семёнов, Александр Михайлович"	"Alexander Semionov"
"Ерёмин, Алексей Григорьевич"	"Alexei Eriomin"
"Петров, Борис Степанович"	"Boris Petrov"
"Литовченко, Александр Дмитриевич"	"Alexander Litovchenko"
"Кулик, Олег Борисович"	"Oleg Kulik"
"Янкилевский, Владимир Борисович"	"Vladimir Yankilevsky"
"Дейнека, Александр Александрович"	"Aleksandr Deyneka"
"Либерман, Александр"	"Alexander Liberman"
"Мыльников, Андрей Андреевич"	"Andrei Mylnikov"
"Эльб, Елена"	"Elena Elbe"
"Баскаков, Николай Николаевич"	"Nikolai Baskakov"
"Горб, Татьяна Владимировна"	"Tatiana Gorb"
"Горб, Владимир Александрович"	"Vladimir Gorb"
"Минчин, Абрам"	"Abraham Mintchine"
"Панкова, Наталия Юрьевна"	"Natalia Pankova"
"Овчинников, Владимир Иванович"	"Vladimir Ovchinnikov"
"Рерих, Николай Константинович"	"Nicholas Roerich"
"Рерих, Святослав Николаевич"	"Svetoslav Roerich"
"Бубнова, Варвара Дмитриевна"	"Varvara Bubnova"
"Петров, Александр Константинович"	"Aleksandr Petrov"
"Наумов, Александр Александрович"	"Alexander Naumov"
"Павловский, Андрей Ростиславович"	"Andrew Pavlovsky"
"Матвеев, Андрей Матвеевич"	"Andrey Matveyev"
"Булатов, Эрик Владимирович"	"Erik Bulatov"
"Ларионов, Михаил Фёдорович"	"Mikhail Larionov"
"Рушева, Надежда Николаевна"	"Nadya Rusheva"
"Сталь, Никола де"	"Nicolas de Staël"
"Касаткин, Николай Алексеевич"	"Nikolay Kasatkin"
"Делоне, Соня"	"Sonia Delaunay"
"Ситников, Василий Яковлевич"	"Vasily Sitnikov"
"Пахомов, Алексей Фёдорович"	"Alexei Pakhomov"
"Наседкин, Анатолий Леонидович"	"Anatoliy Nasedkin"
"Шаманов, Борис Иванович"	"Boris Shamanov"
"Врубель, Дмитрий Владимирович"	"Dmitri Vrubel"
"Гагарин, Григорий Григорьевич"	"Grigory Gagarin"
"Гуркин, Григорий Иванович"	"Grigory Gurkin"
"Островский, Григорий Силович"	"Grigory Ostrovsky"
"Сорока, Григорий Васильевич"	"Grigory Soroka"
"Врубель, Михаил Александрович"	"Mikhail Vrubel"
"Епремян, Варужан Григорьевич"	"Varuzhan Yepremyan"
"Коненко, Анатолий Иванович"	"Anatoly Konenko"
"Кожин, Семён Леонидович"	"Simon Kozhin"
"Гончарова, Наталья Сергеевна"	"Natalia Goncharova"
"Маревна"	"Marie Vorobieff"
"Альтман, Натан Исаевич"	"Nathan Altman"
"Розанова, Ольга Владимировна"	"Olga Rozanova"
"Кипренский, Орест Адамович"	"Orest Kiprensky"
"Герасимов, Сергей Васильевич"	"Sergey Vasilyevich Gerasimov"
"Салахов, Таир Теймур оглы"	"Tahir Salahov"
"Семёнов, Арсений Никифорович"	"Arseny Semionov"
"Смирнов, Сергей Иванович"	"Sergey Ivanovich Smirnov"
"Синоди-Попов, Дмитрий Минаевич"	"Dmitri Sinodi-Popov"
"Бельцова, Александра Митрофановна"	"Aleksandra Belcova"
"Хухров, Юрий Дмитриевич"	"Yuri Khukhrov"
"Колокольников, Мина Лукич"	"Mina Kolokolnikov"
"Русов, Лев Александрович"	"Lev Russov"
"Назаров, Пётр Фёдорович"	"Piotr Nazarov"
"Васильев, Анатолий Ильич"	"Anatoli Vasiliev"
"Ройтер, Михаил Григорьевич"	"Mikhail Rojter"
"Тетерин, Виктор Кузьмич"	"Victor Teterin"
"Альберти, Пётр Филиппович"	"Piotr Alberti"
"Ланской, Андрей Михайлович"	"André Lanskoy"
"Павловский, Генрих Васильевич"	"Genrikh Pavlovsky"
"Гетманская, Ирина Ивановна"	"Irina Getmanskaya"
"Голубев, Василий Васильевич"	"Vasily Golubev"
"Трутовский, Константин Александрович"	"Konstiantyn Trutovsky"
"Кустодиев, Борис Михайлович"	"Boris Kustodiev"
"Весёлкин, Игорь Петрович"	"Igor Veselkin"
"Шагал, Марк Захарович"	"Marc Chagall"
"Башкирцева, Мария Константиновна"	"Marie Bashkirtseff"
"Угрюмов, Григорий Иванович"	"Grigory Ugryumov"
"Васнецов, Аполлинарий Михайлович"	"Apollinary Vasnetsov"
"Поляков, Серж"	"Serge Poliakoff"
"Васнецов, Виктор Михайлович"	"Viktor Vasnetsov"
"Куприн, Александр Васильевич"	"Alexander V. Kuprin"
"Леонидов, Иван Ильич"	"Ivan Leonidov"
"Иванов, Сергей Петрович "	"Serge Ivanoff"
"Татлин, Владимир Евграфович"	"Vladimir Tatlin"
"Горбатов, Константин Иванович"	"Konstantin Gorbatov"
"Соломаткин, Леонид Иванович"	"Leonid Solomatkin"
"Челищев, Павел Фёдорович"	"Pavel Tchelitchew"
"Экстер, Александра Александровна"	"Aleksandra Ekster"
"Родченко, Александр Михайлович"	"Alexander Rodchenko"
"Верещагин, Василий Васильевич"	"Vasily Vereshchagin"
"Дурицкая, Наталья Ивановна"	"Natalia Duritskaya"
"Зайцев, Вячеслав Михайлович"	"Slava Zaitsev"
"Алексеев, Фёдор Яковлевич"	"Fyodor Alekseyev"
"Билибин, Иван Яковлевич"	"Ivan Bilibin"
"Лобанов, Александр Павлович"	"Alexander Lobanov"
"Васильев, Олег Владимирович"	"Oleg Vassiliev"
"Дубовской, Николай Никанорович"	"Nikolay Nikanorovich Dubovskoy"
"Иванов, Александр Андреевич"	"Alexander Andreyevich Ivanov"
"Саврасов, Алексей Кондратьевич"	"Alexei Savrasov"
"Нестеров, Михаил Васильевич"	"Mikhail Nesterov"
"Серебрякова, Зинаида Евгеньевна"	"Zinaida Serebriakova"
"Бахчанян, Вагрич Акопович"	"Vagrich Bakhchanyan"
"Козловская, Марина Андреевна"	"Marina Kozlovskaya"
"Лисицкий, Лазарь Маркович"	"El Lissitzky"
"Авниэль, Мордехай"	"Mordechai Avniel"
"Лемберский, Феликс Самойлович"	"Felix Lembersky"
"Клюн, Иван Васильевич"	"Ivan Kliun"
"Каразин, Николай Николаевич"	"Nikolay Karazin"
"Шильдер, Николай Густавович"	"Nikolay Shilder"
"Обозненко, Дмитрий Георгиевич"	"Dmitry Oboznenko"
"Тюленев, Виталий Иванович"	"Vitaly Tulenev"
"Жданов, Александр Павлович "	"Alexandr Zhdanov"
"Ткачёв, Михаил Евдокимович"	"Mikhail Tkachev"
"Анненков, Юрий Павлович"	"Yury Annenkov"
"Прохор с Городца"	"Prokhor of Gorodets"
"Суриков, Василий Иванович"	"Vasily Surikov"
"Орешников, Виктор Михайлович"	"Victor Oreshnikov"
"Корнеев, Борис Васильевич"	"Boris Korneev"
"Румянцева, Галина Алексеевна"	"Galina Rumiantseva"
"Орехов, Лев Николаевич"	"Lev Orekhov"
"Лансере, Евгений Евгеньевич"	"Eugene Lanceray"
"Добужинский, Мстислав Валерианович"	"Mstislav Dobuzhinsky"
"Иосиф Владимиров"	"Joseph Vladimirov"
"Тыко Вылка"	"Tyko Vylka"
"Волков, Александр Николаевич "	"Alexander Nikolaevich Volkov"
"Соколов, Александр Иванович"	"Alexander Ivanovich Sokolov"
"Скуинь, Елена Петровна"	"Elena Skuin"
"Антипова, Евгения Петровна"	"Evgenia Antipova"
"Балдина, Ирина Михайловна"	"Irina Baldina"
"Козелл, Михаил Георгиевич"	"Mikhail Kozell"
"Делла-Вос-Кардовская, Ольга Людвиговна"	"Olga Della-Vos-Kardovskaya"
"Бучкин, Пётр Дмитриевич"	"Piotr Buchkin"
"Френц, Рудольф Рудольфович"	"Rudolf Frentz"
"Афонина, Таисия Кирилловна"	"Taisia Afonina"
"Селезнёв, Владимир Иванович "	"Vladimir Seleznev"
"Баженов, Всеволод Андреевич"	"Vsevolod Bazhenov"
"Маковский, Владимир Егорович"	"Vladimir Makovsky"
"Шевченко, Александр Васильевич"	"Aleksandr Shevchenko"
"Сычков, Федот Васильевич"	"Fedot Sychkov"
"Четвертков, Игорь Дмитриевич"	"Igor Chetvertkov"
"Шевченко, Тарас Григорьевич"	"Taras Shevchenko"
"Шилов, Александр Максович"	"Alexander Maxovich Shilov"
"Аргунов, Иван Петрович"	"Ivan Argunov"
"Пастернак, Леонид Осипович"	"Leonid Pasternak"
"Прокофьев, Олег Сергеевич"	"Oleg Prokofiev"
"Маяковский, Владимир Владимирович"	"Vladimir Mayakovsky"
"Борисов, Александр Алексеевич"	"Alexander Alexeyevich Borisov"
"Березовский, Игорь Борисович"	"Igor Berezovsky"
"Борисов, Вениамин Иванович"	"Veniamin Borisov"
"Борисов-Мусатов, Виктор Эльпидифорович"	"Victor Borisov-Musatov"
"Лермонтов, Михаил Юрьевич"	"Mikhail Lermontov"
"Татаринов, Герман Алексеевич"	"German Tatarinov"
"Валетова, Нина Петровна"	"Nina Petrovna Valetova"
"Якунчикова, Мария Васильевна"	"Maria Yakunchikova"
"Кантор, Максим Карлович"	"Maxim Kantor"
"Бонгарт, Сергей Романович"	"Sergei Bongart"
"Венецианов, Алексей Гаврилович"	"Alexey Venetsianov"
"Горохова, Елена Константиновна"	"Elena Gorokhova"
"Григорьева, Марта Олеговна"	"Marta Grigorieva"
"Комар, Виталий Анатольевич"	"Vitaly Komar"
"Савинов, Александр Иванович"	"Alexander Savinov"
"Милорадович, Сергей Дмитриевич"	"Sergey Miloradovich"
"Непринцев, Юрий Михайлович"	"Yuri Neprintsev"
"Тарханов"	"Ivan Tarkhanov"
"Субботин-Пермяк, Пётр Иванович"	"Pyotr Subbotin-Permyak"
"Верёвкина, Марианна Владимировна"	"Marianne von Werefkin"
"Удальцова, Надежда Андреевна"	"Nadezhda Udaltsova"
"Кошелев, Николай Андреевич"	"Nikolay Koshelev"
"Воробьёв, Максим Никифорович"	"Maxim Vorobiev"
"Осипов, Сергей Иванович"	"Sergei Ivanovich Osipov"
"Успенский, Борис Александрович"	"Boris Aleksandrovich Uspensky"
"Натаревич, Михаил Давидович"	"Mikhail Natarevich"
"Дубосарский, Владимир Ефимович"	"Vladimir Dubossarsky"
"Байкова, Евгения Васильевна"	"Evgenia Baykova"
"Кириллов, Сергей Алексеевич"	"Sergei Kirillov"
"Ярошенко, Николай Александрович"	"Nikolai Yaroshenko"
"Третчиков, Владимир Григорьевич"	"Vladimir Tretchikoff"
"Евстафьев, Михаил Александрович"	"Mikhail Evstafiev"
"Серов, Валентин Александрович"	"Valentin Serov"
"Осмёркин, Александр Александрович"	"Alexander Osmerkin"
"Зайцев, Александр Дмитриевич"	"Alexander Zaytsev "
"Захаров, Сергей Ефимович "	"Sergei Yefimovich Zakharov"
"Церетели, Зураб Константинович"	"Zurab Tsereteli"
"Бронников, Фёдор Андреевич"	"Fyodor Bronnikov"
"Конюхов, Фёдор Филиппович"	"Fyodor Konyukhov"
"Браз, Осип Эммануилович"	"Osip Braz"
"Белоусов, Пётр Петрович "	"Piotr Belousov"
"Цуцкова, Ольга Петровна"	"Olga Tsutskova"
"Кардовский, Дмитрий Николаевич"	"Dmitry Kardovsky"
"Рябушкин, Андрей Петрович"	"Andrei Ryabushkin"
"Шаблыкин, Юрий Михайлович"	"Yuri Shablikin"
"Жуковский, Станислав Юлианович"	"Stanislav Zhukovsky"
"Поленов, Василий Дмитриевич"	"Vasily Polenov"
"Корзухин, Алексей Иванович"	"Alexei Korzukhin"
"Загонек, Вячеслав Францевич"	"Vecheslav Zagonek"
"Аксельрод, Меер Моисеевич"	"Meer Akselrod"
"Позднеев, Николай Матвеевич"	"Nikolai Pozdneev"
"Садовников, Василий Семёнович"	"Vasily Sadovnikov"
"Живаго, Семён Афанасьевич"	"Semen Zhivago"
"Рабинович, Любовь Семёновна"	"Lubov Rabinovich"
"Лавский, Иван Иванович"	"Ivan Lavsky"
"Боссе, Гаральд Андреевич"	"Harald Julius von Bosse"
"Ефанов, Василий Прокофьевич"	"Vasily Yefanov"
"Лактионов, Александр Иванович"	"Aleksandr Ivanovich Laktionov"
"Леонов, Алексей Архипович"	"Alexey Leonov"
"Гуро, Елена Генриховна"	"Elena Guro"
"Визель, Эмиль Оскарович"	"Emil Wiesel"
"Коровин, Константин Алексеевич"	"Konstantin Korovin"
"Кончаловский, Пётр Петрович"	"Pyotr Konchalovsky"
"Ушаков, Симон Фёдорович"	"Simon Ushakov"
"Якоби, Валерий Иванович"	"Valery Jacobi"
"Левитан, Исаак Ильич"	"Isaac Levitan"
"Золотарёв, Карп"	"Karp Zolotaryov"
"Овчинников, Николай Васильевич"	"Nikolai Ovchinnikov"
"Смирнов-Русецкий, Борис Алексеевич"	"Boris Smirnov-Rusetsky"
"Васильев, Фёдор Александрович"	"Fyodor Vasilyev"
"Медведева, Екатерина Ивановна"	"Katya Medvedeva"
"Петров-Водкин, Кузьма Сергеевич"	"Kuzma Petrov-Vodkin"
"Попова, Любовь Сергеевна"	"Lyubov Popova"
"Леон Бакст"	"Léon Bakst"
"Ульянов, Николай Павлович"	"Nikolai Ulyanov"
"Анохин, Николай Юрьевич"	"Nikolay Anokhin"
"Корин, Павел Дмитриевич"	"Pavel Korin"
"Александровский, Степан Фёдорович"	"Stepan Alexandrovsky"
"Баранов-Россине, Владимир Давидович"	"Vladimir Baranov-Rossine"
"Колокольников-Воронин, Яков Михайлович"	"Yakov Kolokolnikov-Voronin"
"Кикоин, Михаил"	"Michel Kikoine"
"Пластов, Аркадий Александрович"	"Arkady Plastov"
"Рылов, Аркадий Александрович"	"Arkady Rylov"
"Иванов, Сергей Васильевич"	"Sergey Ivanov "
"Боголюбов, Алексей Петрович"	"Alexey Bogolyubov"
"Каплан, Анатолий Львович"	"Anatoli Lvovich Kaplan"
"Белова, Ангелина Петровна"	"Angelina Beloff"
"Левицкий, Дмитрий Григорьевич"	"Dmitry Levitzky"
"Рубо, Франц Алексеевич"	"Franz Roubaud"
"Горелов, Гавриил Никитич"	"Gavriil Gorelov"
"Никитин, Иван Никитич"	"Ivan Nikitich Nikitin"
"Лебедев, Клавдий Васильевич"	"Klavdy Lebedev"
"Каменев, Лев Львович"	"Lev Lvovich Kamenev"
"Рогинский, Михаил Александрович"	"Mikhail Roginsky"
"Сапунов, Николай Николаевич"	"Nikolai Sapunov"
"Генке-Меллер, Нина Генриховна"	"Nina Genke-Meller"
"Меллер, Вадим Георгиевич"	"Vadym Meller"
"Белкин, Вениамин Павлович"	"Veniamin Belkin"
"Лебедев, Владимир Васильевич"	"Vladimir Lebedev "
"Алёна Азёрная"	"Alyona Azernaya"
"Брускин, Григорий Давидович"	"Grisha Bruskin"
"Бабайлов, Игорь Валерьевич"	"Igor Babailov"
"Анисфельд, Борис Израилевич"	"Boris Anisfeld"
"Рокотов, Фёдор Степанович"	"Fyodor Rokotov"
"Фальк, Роберт Рафаилович"	"Robert Falk"
"Судейкин, Сергей Юрьевич"	"Serge Sudeikin"
"Боровиковский, Владимир Лукич"	"Vladimir Borovikovsky"
"Арцыбашев, Борис Михайлович"	"Boris Artzybasheff"
"Григорьев, Борис Дмитриевич"	"Boris Grigoriev"
"Успенский, Леонид Александрович"	"Léonid Ouspensky"
"Христинек, Карл Людвиг"	"Carl-Ludwig Christinek"
"Кравченко, Алексей Ильич"	"Aleksei Ilyich Kravchenko"
"Месмахер, Максимилиан Егорович"	"Maximilian Messmacher"
"Савинов, Глеб Александрович"	"Gleb Savinov"
"Копытцева, Майя Кузьминична"	"Maya Kopitseva"
"Штейнмиллер, Надежда Павловна"	"Nadezhda Shteinmiller"
"Агадати, Барух"	"Baruch Agadati"
"Кузнецов, Николай Ефимович"	"Nikolai Efimovich Kuznetsov"
"Беггров, Александр Карлович"	"Alexander Beggrov"
"Кандинский, Василий Васильевич"	"Wassily Kandinsky"
"Инфанте, Франциско"	"Francisco Infante-Arana"
"Академическая дача"	"Academicheskaya Dacha"
"Иванов-Голубой, Антон Иванович"	"Anton Ivanov-Goluboy"
"Бенуа, Александр Николаевич"	"Alexandre Benois"
"Шишкин, Георгий Георгиевич"	"Georgy Shishkin"
"Шишкин, Иван Иванович"	"Ivan Shishkin"
"Гартман, Виктор Александрович"	"Viktor Hartmann"
"Богданов-Бельский, Николай Петрович"	"Nikolay Bogdanov-Belsky"
"Филонов, Павел Николаевич"	"Pavel Filonov"
"Бурлюк, Давид Давидович"	"David Burliuk"
"Тулин, Юрий Нилович"	"Yuri Tulin"
"Бурлюк, Владимир Давидович"	"Wladimir Burliuk"
"Зверев, Анатолий Тимофеевич"	"Anatoly Zverev"
"Маймон, Моисей Львович"	"Moshe Maimon"
"Чистяков, Павел Петрович"	"Pavel Chistyakov"
"Перов, Василий Григорьевич"	"Vasily Perov"
"Трофимов, Викентий Павлович"	"Vikentii Trofimov"
"Кремень, Пинхус"	"Pinchus Kremegne"
"Лентулов, Аристарх Васильевич"	"Aristarkh Lentulov"
"Машков, Илья Иванович"	"Ilya Mashkov"
"Флавицкий, Константин Дмитриевич"	"Konstantin Flavitsky"
"Кострова, Анна Александровна"	"Anna Kostrova"
"Зеленцов, Капитон Алексеевич"	"Kapiton Zelentsov"
"Вовкушевский, Ростислав Иванович"	"Rostislav Vovkushevsky"
"Толстой, Фёдор Петрович"	"Fyodor Petrovich Tolstoy"
"Татаренко, Александр Александрович"	"Alexander Tatarenko"
"Лагорио, Лев Феликсович"	"Lev Lagorio"
"Колкутин, Андрей Борисович"	"Andrei Kolkoutine"
"Коровяков, Александр Петрович"	"Alexander Koroviakov"
"Богаевская, Ольга Борисовна"	"Olga Bogaevskaya"
"Конышева, Натта Ивановна"	"Natta Konysheva"
"Сведомский, Павел Александрович"	"Pavel Svedomsky"
"Маевский, Дмитрий Иванович"	"Dmitry Maevsky"
"Кранц, Владимир Павлович"	"Vladimir Krantz"
"Явленский, Алексей фон"	"Alexej von Jawlensky"
"Васильева, Мария Ивановна "	"Marie Vassilieff"
"Андрей Рублёв"	"Andrei Rublev"
"Тимков, Николай Ефимович"	"Nikolai Timkov"
"Дик, Наталья Николаевна"	"Natalia Dik"
"Пономарёв, Александр Евгеньевич"	"Alexander Evgenievich Ponomarev"
"Цвайгенбаум, Исраил Иосифович"	"Israel Tsvaygenbaum"
"Долгорукова, Юлия Витальевна"	"Julia Dolgorukova"
"Юон, Константин Фёдорович"	"Konstantin Yuon"
"Брюллов, Александр Павлович"	"Alexander Brullov"
"Чориков, Борис Артемьевич"	"Boris Chorikov"
"Редько, Климент Николаевич"	"Kliment Red'ko"
"Мясоедов, Григорий Григорьевич"	"Grigoriy Myasoyedov"
"Творожников, Иван Иванович"	"Ivan Tvorozhnikov"
"Скотти, Михаил Иванович"	"Mikhail Scotti"
"Сверчков, Николай Егорович"	"Nikolai Sverchkov"
"Яковлев, Александр Евгеньевич"	"Alexandre Jacovleff"
"Иогансон, Борис Владимирович"	"Boris Ioganson"
"Решетников, Фёдор Павлович"	"Fyodor Pavlovich Reshetnikov"
"Остроухов, Илья Семёнович"	"Ilya Ostroukhov"
"Лебедев, Михаил Иванович "	"Mikhail Lebedev"
"Пивоваров, Виктор Дмитриевич"	"Viktor Pivovarov"
"Авинов, Андрей Николаевич"	"Andrey Avinoff"
"Туржанский, Леонард Викторович"	"Leonard Turzhansky"
"Пукирев, Василий Владимирович"	"Vasili Pukirev"
"Макаров, Иван Кузьмич"	"Ivan Makarov"
"Луговская, Нина Сергеевна"	"Nina Lugovskaya"
"Гробман, Михаил Яковлевич"	"Michail Grobman"
"Санкт-Петербургский Союз художников"	"Saint Petersburg Union of Artists"
"Супремус"	"Supremus"
"Андрей Ефи"	"Andrey Efi"
"Малютин, Сергей Васильевич"	"Sergey Malyutin"
"Смирнова, Галина Александровна"	"Galina Smirnova"
"Каравак, Луи"	"Louis Caravaque"
"Шемякин, Михаил Михайлович"	"Mihail Chemiakin"
"Зейденберг, Говелий Шоель Мошков"	"Saveliy Moiseyevich Zeydenberg"
"Кузнецов, Павел Варфоломеевич"	"Pavel Kuznetsov"
"Нилус, Пётр Александрович"	"Pyotr Nilus"
"Мастеркова, Лидия Алексеевна"	"Lidiya Masterkova"
"Крымов, Николай Петрович"	"Nikolay Krymov"
"Щедрин, Семён Фёдорович"	"Semyon Shchedrin"
"Щедрин, Сильвестр Феодосиевич"	"Sylvester Shchedrin"
"Максимов, Василий Максимович"	"Vassily Maximov"
"Прянишников, Илларион Михайлович"	"Illarion Pryanishnikov"
"Головин, Александр Яковлевич"	"Aleksandr Golovin"
"Акимов, Иван Акимович"	"Ivan Akimov"
"Рудницкая, Мария Леонидовна"	"Maria Rudnitskaya"
"Грабарь, Игорь Эммануилович"	"Igor Grabar"
"Лаховский, Арнольд Борисович"	"Arnold Lakhovsky"
"Каковкина, Галина Александровна"	"Galina Kakovkina"
"Савицкий, Игорь Витальевич"	"Igor Savitsky"
"Савицкий, Константин Аполлонович"	"Konstantin Savitsky"
"Сомов, Константин Андреевич"	"Konstantin Somov"
"Левченко, Ярослав Юрьевич"	"Levchenko Yaroslav"
"Поленова, Елена Дмитриевна"	"Yelena Polenova"
"Антропов, Алексей Петрович"	"Aleksey Antropov"
"Костенко, Елена Михайловна"	"Elena Kostenko"
"Самохвалов, Александр Николаевич"	"Alexander Nikolayevich Samokhvalov"
"Ткаченко, Леонид Анисимович"	"Leonid Tkachenko"
"Андросов, Валерий Владимирович"	"Valery Androsov"
"Чекалов, Владимир Фёдорович"	"Vladimir Chekalov"
"Лисснер, Эрнест Эрнестович"	"Ernst Lissner"
"Рухин, Евгений Львович"	"Evgeny Rukhin"
"Грицай, Алексей Михайлович"	"Aleksei Gritsai"
"Харламов, Алексей Алексеевич"	"Alexei Harlamov"
"Крендовский, Евграф Фёдорович"	"Evgraf Fedorovich Krendovsky"
"Позен, Леонид Владимирович"	"Leonid Pozen"
"Сюрваж, Леопольд"	"Léopold Survage"
"Пимоненко, Николай Корнильевич"	"Mykola Pymonenko"
"Зарянко, Сергей Константинович"	"Sergey Zaryanko"
"Чарушин, Евгений Иванович"	"Yevgeny Charushin"
"Блонская, Серафима Иасоновна"	"Seraphima Blonskaya"
"Румянцева, Капитолина Алексеевна"	"Kapitolina Rumiantseva"
"Васютинский, Антон Фёдорович"	"Anton Vasyutinsky"
"Зауервейд, Николай Александрович"	"Nikolay Sauerweid"
"Ромадин, Михаил Николаевич"	"Mikhail Romadin"
"Поздняков, Евгений Михайлович"	"Evgeny Pozdniakov"
"Фролов, Сергей Кузьмич"	"Sergei Frolov"
"Мавроматти, Олег Юрьевич"	"Oleg Mavromati"
"Дмитриев-Оренбургский, Николай Дмитриевич"	"Nikolai Dmitriev-Orenburgsky"
"Нагапетян, Корюн Григорьевич"	"Koryun Nahapetyan"
"Цигаль, Виктор Ефимович"	"Victor Tsigal"
"Белютин, Элий Михайлович"	"Ely Bielutin"
"Веселова, Нина Леонидовна"	"Nina Veselova"
"Абугов, Семён Львович"	"Semion Abugov"
"Ухналёв, Евгений Ильич"	"Yevgeny Ukhnalyov"
"Стемацкий, Авигдор"	"Avigdor Stematsky"
"Саксон, Владимир Станиславович"	"Vladimir Sakson"
"Можаев, Алексей Васильевич"	"Alexei Mozhaev"
"Козлов, Энгельс Васильевич"	"Engels Kozlov"
"Гурий Никитин"	"Gury Nikitin"
"Матюшин, Михаил Васильевич"	"Mikhail Matyushin"
"Егоров, Алексей Егорович"	"Alexei Egorovich Egorov"
"Малыш, Гавриил Кондратьевич"	"Gavriil Malish"
"Бернштейн, Михаил Давидович"	"Mikhail Bernshtein"
"Канеев, Михаил Александрович"	"Mikhail Kaneev"
"Обухов, Платон Алексеевич"	"Platon Obukhov"
"Отиев, Виктор Александрович"	"Victor Otiev"
"Меламид, Александр Данилович"	"Alexander Melamid"
"Моисеенко, Евсей Евсеевич"	"Evsey Moiseenko"
"Калмыков, Сергей Иванович"	"Sergey Kalmykov"
"Биценко, Андрей Васильевич"	"Andrej Bicenko"
"Салтанов, Богдан"	"Bogdan Saltanov"
"Монахова, Валентина Васильевна"	"Valentina Monakhova"
"Литвинский, Пётр Петрович"	"Piotr Litvinsky"
"Януш, Леонид Борисович"	"Leonid Yanush"
"Штейнберг, Эдуард Аркадьевич"	"Eduard Steinberg"
"Столбов, Александр Сергеевич"	"Alexander Stolbov"
"Копнина, Татьяна Владимировна"	"Tatiana Kopnina"
"Варичев, Иван Михайлович"	"Ivan Varichev"
"Язгур, Лазарь Семёнович"	"Lazar Yazgur"
"Зубреева, Мария Абрамовна"	"Maria Zubreeva"
"Костров, Николай Иванович"	"Nikolai Kostrov"
"Свиньин, Павел Петрович"	"Pavel Svinyin"
"Захарьян, Рубен Агасьевич"	"Ruben Zakharian"
"Бызова, Злата Николаевна"	"Zlata Bizova"
"Грушко, Абрам Борисович"	"Abram Grushko"
"Любимов, Александр Михайлович"	"Alexander Lubimov"
"Пушнин, Александр Тихонович"	"Alexander Pushnin"
"Ненартович, Анатолий Акимович"	"Anatoli Nenartovich"
"Лавренко, Борис Михайлович"	"Boris Lavrenko"
"Добрякова, Ирина Михайловна"	"Irina Dobrekova"
"Труфанов, Михаил Павлович"	"Mikhail Trufanov"
"Галахов, Николай Николаевич"	"Nikolai Galakhov"
"Ломакин, Олег Леонидович"	"Oleg Lomakin"
"Васильев, Пётр Константинович"	"Piotr Vasiliev"
"Невельштейн, Самуил Григорьевич"	"Samuil Nevelshtein"
"Ларина, Валерия Борисовна"	"Valeria Larina"
"Ватенин, Валерий Владимирович"	"Valery Vatenin"
"Назина, Вера Ивановна"	"Vera Nazina"
"Варнек, Александр Григорьевич"	"Alexander Varnek"
"Угаров, Борис Сергеевич"	"Boris Ugarov"
"Ярошевич, Жозефинна"	"Josephinne Yaroshevich"
"Серебряный, Иосиф Александрович"	"Joseph Serebriany"
"Бобышов, Михаил Павлович"	"Mikhail Bobyshov"
"Фогель, Борис Александрович"	"Boris Fogel"
"Авилов, Михаил Иванович"	"Mikhail Avilov"
"Анисович, Владислав Леопольдович"	"Vladislav Anisovich"
